psnr		speed	disp	 comment
36.79188	5.127	0.067	 4, brute force, skip with mse 16, search not in [-16, 16], but in [-8, 8], step = 2, second time in [-4, 4]
36.95348	6.250	0.045	 4, brute force, skip with mse 16, search not in [-16, 16], but in [-8, 8], step = 2, second time in [-5, 5]
36.95345	6.401	0.449	 4, brute force, skip with mse 16, search not in [-16, 16], but in [-8, 8], step = 2, second time in [-5, 5], good q - 35
36.73217	5.111	0.239	 4, brute force, skip with mse 16, search not in [-16, 16], but in [-8, 8], step = 2, second time in [-5, 5], good q - 35
36.55110	4.161	0.066	 4, brute force, skip with mse 16, search not in [-16, 16], but in [-8, 8], step = 2, second time in [-4, 4], good q - 35
36.62102	4.355	0.118	 4, brute force, skip with mse 16, search not in [-16, 16], but in [-8, 8], step = 2, second time in [-4, 4], good q - 30
35.77700	4.055	0.098	 the same as last, but with averaging
36.37409	5.322	0.018	 the same as last, but with averaging, daip2 = 6, without q thresh
37.04929	5.386	0.066	 the same as last, but with averaging, daip2 = 6, without q thresh
36.91133	4.246	0.081	 the same as last, but with averaging, daip2 = 4, without q thresh
36.91133	4.398	0.058	 the same as last, but with averaging, daip2 = 4, without q thresh
36.75944	3.988	0.081	 the same as last, but with averaging, daip2 = 3, without q thresh
35.91281	3.261	0.048	 acceleration, but with averaging, daip2 = 3, without q thresh
35.91117	3.833	0.028	 acceleration, but with averaging, daip2 = 3, without q thresh, avergain in 5*5, not in 3*3
34.51315	4.455	0.085	 (velocity), but with averaging, daip2 = 3, without q thresh, avergain in 5*5, not in 3*3
34.49133	5.929	0.129	 (velocity), but with averaging, daip2 = 3, without q thresh, avergain in 5*5, not in 3*3
36.69727	3.135	0.141	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1)
36.69727	3.340	0.038	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1)
